City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Reconquista,AR,75.81,scattered clouds,-29.15,-59.65,Grand Hotel
315,Derbent,RU,52.63,broken clouds,42.0678,48.2899,Elit
318,Hasaki,JP,59.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
319,Tautira,PF,79.95,light rain,-17.7333,-149.15,Pension Oaoa
322,Tuatapere,NZ,51.84,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
323,Merrill,US,61.75,clear sky,45.1805,-89.6835,Prairie Motel
325,Coquimbo,CL,56.93,light intensity drizzle,-29.9533,-71.3436,Hotel San Juan
326,Kaitangata,NZ,52.32,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
327,Del Rio,US,77.02,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
328,Tacuarembo,UY,76.71,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
331,Broken Hill,AU,64.27,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
338,Phan Thiet,VN,79.59,scattered clouds,10.9333,108.1,Hotel Saigon-PT
344,Kristianstad,SE,53.74,clear sky,56.0313,14.1524,First Hotel Christian IV
345,Marquette,US,65.77,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
350,Nangong,CN,72.88,overcast clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
352,Mbouda,CM,71.67,light rain,5.6258,10.2552,Hôtel la Différence
353,Buraydah,SA,69.3,light rain,26.326,43.975,Mövenpick Qassim
355,Selje,NO,57.97,broken clouds,62.0459,5.351,Doktorgarden Selje
358,Pafos,CY,75.24,clear sky,34.7667,32.4167,Elysium Hotel
365,Ambilobe,MG,77.4,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
371,Charters Towers,AU,70.66,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
373,Iquique,CL,70.45,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
375,Saint-Pierre,RE,74.88,few clouds,-21.3393,55.4781,Lindsey Hôtel
376,Portland,US,55.29,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
378,San Francisco,US,59.83,scattered clouds,37.7749,-122.4194,Edwardian Hotel
384,Vryburg,ZA,69.75,broken clouds,-26.9566,24.7284,The Times Premier Lodge
386,Lata,PT,65.07,overcast clouds,40.1629,-8.3327,Casa Maquia
388,Oborniki,PL,59.41,overcast clouds,52.6474,16.8141,Accommodations sleep on the Warta River
392,Sambava,MG,77.47,light rain,-14.2667,50.1667,Melrose
397,Aurora,US,51.22,scattered clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
398,Lejanias,CO,72.57,light rain,3.5251,-74.0216,Hotel Campestre La Contea
399,Bonga,ET,63.16,overcast clouds,7.2833,36.2333,Abelena bare and restorant
401,Kanigoro,ID,74.34,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
402,Rocha,UY,75.49,clear sky,-34.4833,-54.3333,Hotel Arrarte
405,Emerald,AU,67.33,overcast clouds,-23.5333,148.1667,The Irish Village
408,Mareeba,AU,74.12,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
410,Arona,ES,63.72,broken clouds,28.0996,-16.681,Paradise Court
412,Astorga,BR,76.87,clear sky,-23.2325,-51.6656,Rancho Jads
414,Katherine,AU,75.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
415,Ambulu,ID,77.13,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
416,Seoul,KR,63.79,overcast clouds,37.5683,126.9778,롯데호텔 서울
418,Ginda,IN,61.05,overcast clouds,30.6945,78.4932,Sunil Bisht
419,Bindura,ZW,70.72,broken clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
424,Ambovombe,MG,75.72,overcast clouds,-25.1667,46.0833,RELAHARA
426,Biak,ID,77.04,broken clouds,-0.9131,122.8766,Penginapan Kim
428,Labuhan,ID,79.59,overcast clouds,-6.8844,112.2051,DoubleFAG
436,Hervey Bay,AU,68.02,light rain,-25.2986,152.8535,Shelly Bay Resort
437,Seydi,TM,78.85,clear sky,39.4816,62.9137,Seydi oteli
439,Bull Savanna,JM,79.93,overcast clouds,17.8868,-77.5902,Big Red's
440,Santa Isabel,BR,78.96,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
441,Cerrito,CO,59.38,overcast clouds,6.8432,-72.694,Yariseth juliana
443,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
445,Kupang,ID,77.04,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
446,Luau,AO,72.64,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
447,Lagoa,PT,57.87,clear sky,39.05,-27.9833,Casa Das Faias
448,Arrifes,PT,59.25,few clouds,37.7667,-25.7,Hotel Ponta Delgada
452,Quanzhou,CN,74.95,scattered clouds,24.9139,118.5858,Super 8 Hotel Quanzhou new station shop
453,El Alto,PE,73.38,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
454,Bima,ID,75.92,scattered clouds,-8.4667,118.7167,Lambitu Hotel
456,Madisonville,US,77.95,overcast clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
459,Nanakuli,US,74.61,overcast clouds,21.3906,-158.1547,Camp Pālehua
460,Eureka,US,51.21,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
461,Matara,LK,79.63,few clouds,5.9485,80.5353,Amaloh Boutique Resort
462,Codo,BR,79.48,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
463,Cabatuan,PH,78.4,overcast clouds,10.8794,122.486,MVC Transient Room
464,Byron Bay,AU,62.94,broken clouds,-28.65,153.6167,Backpackers Inn
465,Carutapera,BR,76.26,overcast clouds,-1.195,-46.02,Lidera
473,Elk City,US,59.22,scattered clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
475,Castanos,MX,79.34,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
476,Mangan,IN,68.79,scattered clouds,27.5167,88.5333,Hotel Mout View
478,Redmond,US,54.68,broken clouds,47.674,-122.1215,Seattle Marriott Redmond
479,Chongwe,ZM,70.41,broken clouds,-15.3292,28.682,Grakas Lodge
480,Viedma,AR,68.43,overcast clouds,-40.8135,-62.9967,Hotel Cristal
484,Pasighat,IN,69.75,broken clouds,28.0667,95.3333,Siang Guest House
486,Yelan-Koleno,RU,55.63,overcast clouds,51.1523,41.2306,Gostinitsa Transamiak
487,Alekseyevka,RU,56.28,broken clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
489,Fukue,JP,65.39,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
492,Azovskaya,RU,68.59,few clouds,44.7908,38.6264,Bochka
493,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
494,Fort-Shevchenko,KZ,58.06,clear sky,44.5086,50.263,Oasis hotel Bautino
495,Esik,KZ,54.82,moderate rain,43.3552,77.4525,"Gostevoy Dom ""Asyl Tau"""
496,Shimoda,JP,59.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
499,Emporia,US,56.52,few clouds,38.4039,-96.1817,Candlewood Suites Emporia
504,Son La,VN,73.15,clear sky,21.3167,103.9,Galaxy Grand Hotel
509,Palu,ID,76.78,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
510,Jablah,SY,71.89,clear sky,35.3614,35.9256,بستان صالح
511,Bathurst,AU,50.83,overcast clouds,-33.4166,149.5806,Bathurst Motor Inn
513,Shu,KZ,57.79,moderate rain,43.5983,73.7614,Shyngyzkhan
516,Maseru,LS,55.63,moderate rain,-29.3167,27.4833,Lakeview guesthouse
518,Manono,CD,73.99,overcast clouds,-7.3,27.4167,Hotel hewa bora
521,Menongue,AO,71.56,clear sky,-14.6585,17.691,Ritz Lauca
527,Tawau,MY,78.21,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
532,Nishihara,JP,74.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
534,Burgos,ES,55.81,few clouds,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
536,Port Dickson,MY,77.22,broken clouds,2.5228,101.7959,Glory Beach Resort
537,Chateaubelair,VC,79.77,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
539,Porec,HR,56.35,overcast clouds,45.2258,13.5939,BO hotel Palazzo
541,Talara,PE,75.06,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
542,Saint-Francois,FR,55.67,light rain,46.4154,3.9054,Manoir Du Bonheur
545,Khash,IR,75.63,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
546,Yinchuan,CN,69.39,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
547,Somerset East,ZA,53.53,light rain,-32.7217,25.588,Mbali Lodge
551,Ureki,GE,60.76,clear sky,41.9956,41.7786,Hotel Ritsa
553,Along,IN,65.19,broken clouds,28.1667,94.7667,Hotel West
555,Colares,PT,67.44,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
556,Kyzyl-Suu,KG,50.4,moderate rain,42.3414,78.0056,Gostinitsa Nur-Ordo
557,Kieta,PG,78.57,light rain,-6.2167,155.6333,Uruna Bay Retreat
559,Mount Isa,AU,65.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
562,Valcourt,CA,54.88,overcast clouds,45.5001,-72.3158,Motel du Canton
565,Pangai,TO,78.57,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
566,Moree,AU,60.08,broken clouds,-29.4667,149.85,Molika Springs Motel
569,Mercedes,AR,75.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
571,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
572,Chifeng,CN,56.32,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
573,Goba,ET,53.82,moderate rain,7.0167,39.9833,Tsehay Bezabeh Metasebya Mengita Bet
574,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
577,Fortuna,US,50.94,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
578,Norden,DE,57.94,clear sky,53.6,7.2,Hotel Aquarius
579,Lucapa,AO,73.76,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
581,Luwuk,ID,78.42,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
582,Tabuk,PH,75.67,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
584,Asau,RO,67.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
585,Grants Pass,US,53.19,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
586,Korla,CN,72.48,broken clouds,41.7597,86.1469,Gulisitan Hotel
587,Asfi,MA,63.61,few clouds,32.2994,-9.2372,Hôtel Abda
588,Ruteng,ID,60.69,clear sky,-8.6136,120.4721,Hotel FX 72
590,Buala,SB,79.39,light rain,-8.145,159.5921,Maringe Lagoon Lodge
591,Burnie,AU,52.95,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
592,Huilong,CN,59.29,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
593,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
594,Manokwari,ID,78.96,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
595,Taltal,CL,66.78,clear sky,-25.4,-70.4833,Residencial Karime
597,Clovis,US,66.85,clear sky,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
599,Maloy,NO,51.53,broken clouds,61.9353,5.1136,Torget Hotell
600,Bardiyah,LY,66.88,clear sky,31.7561,25.0865,بورتو بردية
601,Amahai,ID,79.61,broken clouds,-3.3333,128.9167,HOTEL ISABELA
602,Wilmington,US,79.93,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
604,West Plains,US,69.82,broken clouds,36.7281,-91.8524,West Plains Motel
607,Hirara,JP,77.45,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
608,Zunheboto,IN,61.61,scattered clouds,25.9667,94.5167,Inspection Bungalow
610,Balkanabat,TM,77.77,overcast clouds,39.5108,54.3671,Nebitchi Hotel
614,Zadar,HR,66.81,few clouds,44.1197,15.2422,Hotel Kolovare
615,Izumo,JP,57.15,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
616,Rosetta,EG,66.6,clear sky,31.4044,30.4164,Green Valley
623,Inhambane,MZ,74.68,clear sky,-23.865,35.3833,Oceano
624,Frontignan,FR,68.14,broken clouds,43.4485,3.754,Vila
630,Hofn,IS,50.02,few clouds,64.2539,-15.2082,Hótel Höfn
631,Atocha,BO,52.3,overcast clouds,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
633,Lavumisa,SZ,74.37,light rain,-27.31,31.892,ROADSIDE B&B
635,Erenhot,CN,59.79,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
636,Algiers,DZ,64.22,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
637,Tesistan,MX,74.44,clear sky,20.7833,-103.4833,Hotel Hacienda La Magdalena
641,Bloemfontein,ZA,58.41,light rain,-29.1211,26.214,Protea Hotel by Marriott Bloemfontein
642,Wabag,PG,55.15,overcast clouds,-5.4781,143.7021,Shalom Inn
643,Moerai,PF,77.54,broken clouds,-22.4333,-151.3333,Le Manotel
646,Narbonne,FR,67.33,broken clouds,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
649,Sistranda,NO,55.36,overcast clouds,63.7256,8.834,Hotell Frøya
652,Praia Da Vitoria,PT,59.18,light rain,38.7333,-27.0667,Hotel Branco I
654,Artyom,AZ,57.34,overcast clouds,40.4723,50.333,Pir hos
656,Grand Island,US,53.55,scattered clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
658,Namie,JP,54.72,broken clouds,37.4833,141.0,いこいの村なみえ
665,Baft,IR,66.36,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
666,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
668,Havelock,US,79.95,clear sky,34.8791,-76.9013,Sherwood Motel
669,Penaflor,CL,70.39,overcast clouds,-33.6167,-70.9167,Experiencia en Parcela Agroecológica
672,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
673,Dunedin,NZ,54.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
676,Riosucio,CO,67.78,overcast clouds,5.4216,-75.7032,Finca Cafe La Ermita
679,Diveyevo,RU,54.97,overcast clouds,55.0433,43.2418,Diveyevskaya Sloboda
680,Willowmore,ZA,54.77,broken clouds,-33.2926,23.4895,Jumper's Place
686,Tulsipur,NP,76.77,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
